model,context_relation,target_relation,n_pairs,median_delta_nll,ci_low,ci_high,wilcoxon_p_greater,mean_delta_nll
8B,P101,P101,64,1.2533926963806152,0.6625320911407471,1.9313011169433594,0.00011146656064289542,1.0878431408200413
8B,P101,P103,64,0.19843696057796478,0.04109311103820801,0.5219068378210068,0.001428929808064351,0.5638911898713559
8B,P101,P138,64,0.15362966060638428,0.03865242004394531,0.35397934913635254,0.0005767668279216091,0.4633933203294873
8B,P101,P159,64,0.14896941184997559,0.06232929229736328,0.30820275843143463,0.010900589214758174,0.2253193713258952
8B,P101,P176,64,0.1519852876663208,0.003152608871459961,0.3323866277933121,0.00388820142952603,0.330470910994336
8B,P101,P19,64,0.4374280720949173,0.22155523300170898,0.7068266868591309,2.0117339048595955e-05,0.8069223142229021
8B,P103,P101,64,0.7404110431671143,0.5168061256408691,1.1453993320465088,1.9713691158139256e-06,0.8290571663528681
8B,P103,P103,64,0.446616992354393,0.25355033203959465,0.6858880519866943,2.1434731941509813e-07,0.8805117499432527
8B,P103,P138,64,0.1212320327758789,-0.029338836669921875,0.22674822807312012,0.02832907055363984,0.22915267944335938
8B,P103,P159,64,0.14059367775917053,0.053814858198165894,0.20473861694335938,3.557937234852487e-05,0.3254769225604832
8B,P103,P176,64,0.35725049674510956,0.2371102273464203,0.570709303021431,2.643018677689993e-07,0.43492739158682525
8B,P103,P19,64,0.464871883392334,0.22053664922714233,0.6141672134399414,9.629382231226905e-06,0.8181045828387141
8B,P138,P101,64,0.4261622428894043,0.2692638635635376,0.8657139927148787,4.968445006139853e-05,0.6206326857209206
8B,P138,P103,64,0.4832097887992859,0.07604646682739258,0.9443178176879883,9.262882296384922e-05,0.6475143895950168
8B,P138,P138,64,1.0987527668476105,0.8705886006355286,1.4397108837962107,4.912227206568701e-08,1.1087139260489494
8B,P138,P159,64,0.19100181013345718,0.07650744915008545,0.3752260208129883,0.006549538083997461,0.23103241308126599
8B,P138,P176,64,1.2390521988272667,0.7960033416748047,1.644333004951477,2.1037433318324864e-10,1.3841140903532505
8B,P138,P19,64,0.14529860019683838,-0.09032648801803589,0.4952741861343384,0.15469550366244333,0.13998121477197856
8B,P159,P101,64,0.5312509536743164,0.2044581174850464,0.8866305351257324,9.294382288993706e-07,0.9273362178355455
8B,P159,P103,64,0.13636666536331177,0.04353831708431244,0.21697353571653366,0.004292035992228123,0.1482120347500313
8B,P159,P138,64,-0.00427854061126709,-0.15356433391571045,0.10663115978240967,0.26043644495264406,0.11299363523721695
8B,P159,P159,64,0.6398705989122391,0.2687517963349819,0.9891319274902344,7.673923590022865e-09,1.143142173124943
8B,P159,P176,64,0.20507758855819702,0.13625741004943848,0.29896414279937744,1.0876915080074435e-08,0.3696167324669659
8B,P159,P19,64,0.2859259843826294,0.07819801568984985,0.4384799003601074,0.0006792770551363554,0.4432535422965884
8B,P176,P101,64,0.4424682855606079,0.09550118446350098,0.6870162487030029,3.7631679861634416e-05,0.7241377988830209
8B,P176,P103,64,0.22748112678527832,0.0980215072631836,0.38353633880615234,0.000265977220283268,0.3387265446363017
8B,P176,P138,64,0.7530249953269958,0.2426469326019287,0.9961542785167694,2.8920947203767443e-06,0.7926147906109691
8B,P176,P159,64,0.19872334599494934,0.08035022020339966,0.36183005571365356,3.2816796872168904e-06,0.39649351011030376
8B,P176,P176,64,2.5743732154369354,2.2084153294563293,2.930974930524826,7.172379166436766e-12,2.4882579786499264
8B,P176,P19,64,0.43281298875808716,0.2123851776123047,0.9195300340652466,5.699816300196188e-05,0.8043053690344095
8B,P19,P101,64,0.42354822158813477,0.2396535873413086,0.8425236940383911,1.4728809983814905e-06,0.9802410248667002
8B,P19,P103,64,0.12892946228384972,0.03118830919265747,0.3135122060775757,0.0009364199390015868,0.4215148778166622
8B,P19,P138,64,0.056490421295166016,-0.11533975601196289,0.19737625122070312,0.22291795144954085,0.0661804499104619
8B,P19,P159,64,0.13498437404632568,0.03145802021026611,0.2183050811290741,0.009799454428959204,0.3143568872474134
8B,P19,P176,64,0.16939020156860352,0.07409900426864624,0.2926452159881592,0.0029323478640683044,0.23651684052310884
8B,P19,P19,64,0.1904584765434265,-0.02706766128540039,0.3627644181251526,0.01757769583122081,0.41949143714737147
