stage,model_id,model_key,layer_index,normalized_depth,protocol,source_relations,target_relation,fold,auc,balanced_accuracy,n_train,n_test,n_iter
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P19,P19,0,0.8693771626297577,0.7647058823529411,132,68,25
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P19,P19,1,0.9090909090909092,0.803030303030303,134,66,27
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P19,P19,2,0.9081726354453628,0.8484848484848485,134,66,52
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P103,P103,0,0.96280276816609,0.9264705882352942,132,68,48
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P103,P103,1,0.9706152433425161,0.9393939393939394,134,66,27
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P103,P103,2,0.9568411386593205,0.8939393939393939,134,66,42
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P101,P101,0,0.9368512110726643,0.8970588235294117,132,68,21
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P101,P101,1,0.9485766758494031,0.8787878787878788,134,66,44
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P101,P101,2,0.9696969696969697,0.8939393939393939,134,66,28
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P159,P159,0,0.9826989619377162,0.9117647058823529,132,68,20
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P159,P159,1,0.9834710743801653,0.8787878787878789,134,66,22
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P159,P159,2,0.9439853076216713,0.8787878787878788,134,66,35
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P176,P176,0,0.9948096885813149,0.9705882352941176,132,68,19
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P176,P176,1,0.9981634527089073,0.9393939393939394,134,66,17
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P176,P176,2,1.0,0.9848484848484849,134,66,20
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P138,P138,0,0.9870242214532872,0.9558823529411764,132,68,17
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P138,P138,1,1.0,0.9848484848484849,134,66,16
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,within_relation,P138,P138,2,0.9944903581267217,0.9848484848484849,134,66,16
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P19,P19,0,0.8780276816608996,0.7941176470588236,132,68,39
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P19,P19,1,0.8824609733700643,0.803030303030303,134,66,26
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P19,P19,2,0.9090909090909092,0.8333333333333333,134,66,58
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P103,P103,0,0.9922145328719724,0.9558823529411764,132,68,24
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P103,P103,1,0.9807162534435263,0.9393939393939394,134,66,21
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P103,P103,2,0.9568411386593205,0.9242424242424243,134,66,21
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P101,P101,0,0.954152249134948,0.8823529411764706,132,68,19
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P101,P101,1,0.9173553719008265,0.893939393939394,134,66,39
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P101,P101,2,0.9678604224058769,0.8939393939393939,134,66,23
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P159,P159,0,0.9922145328719723,0.9264705882352942,132,68,36
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P159,P159,1,0.997245179063361,0.9696969696969697,134,66,27
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P159,P159,2,0.9752066115702479,0.9393939393939394,134,66,20
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P176,P176,0,0.9982698961937716,0.9852941176470589,132,68,16
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P176,P176,1,0.997245179063361,0.9696969696969697,134,66,17
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P176,P176,2,1.0,0.9848484848484849,134,66,18
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P138,P138,0,0.9887543252595157,0.9558823529411764,132,68,17
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,within_relation,P138,P138,1,1.0,0.9545454545454546,134,66,19
