model,context_relation,target_relation,n_pairs,median_delta_nll,ci_low,ci_high,wilcoxon_p_greater,mean_delta_nll
70B,P101,P101,64,1.027421087026596,0.44498947262763977,1.2933166027069092,3.036541189669679e-07,0.9041494214907289
70B,P101,P103,64,0.3216942846775055,0.2180488109588623,0.5899074375629425,0.00010299083374056014,0.45554211735725403
70B,P101,P138,64,0.2209269404411316,0.11353260278701782,0.3716381788253784,0.004208390681053993,0.2605025004595518
70B,P101,P159,64,0.1680883765220642,0.0929524302482605,0.2602945566177368,0.00036615240077490655,0.2216835212893784
70B,P101,P176,64,0.28739430010318756,0.2027180939912796,0.4039786458015442,5.287186982172525e-08,0.41744278301484883
70B,P101,P19,64,0.3297600746154785,0.16090960800647736,0.42462730407714844,0.0007983683611517164,0.41815915144979954
70B,P103,P101,64,0.4041929244995117,0.2525804042816162,0.8074089288711548,2.2578192962047446e-05,0.603523570112884
70B,P103,P103,64,1.0139582306146622,0.6106077246367931,1.3999290466308594,8.623502355239029e-09,1.314788969233632
70B,P103,P138,64,0.24148738384246826,0.12796461582183838,0.38297152519226074,5.545870514109363e-05,0.4337400374934077
70B,P103,P159,64,0.25407227873802185,0.1601988971233368,0.4094200134277344,3.090196294943825e-05,0.43801123718731105
70B,P103,P176,64,0.3949696123600006,0.21443097293376923,0.7148120403289795,2.4211794735299176e-08,0.5144095262512565
70B,P103,P19,64,0.9645459353923798,0.45729541778564453,1.5706738233566284,3.4948295113181667e-06,1.2430830178782344
70B,P138,P101,64,0.30465787649154663,0.0874481201171875,0.6981127262115479,0.0007802529862324238,0.6574687361717224
70B,P138,P103,64,0.8604922294616699,0.38008689880371094,1.0145223736763,2.5346813890266144e-09,0.9029824528843164
70B,P138,P138,64,1.9960227310657501,1.74400132894516,2.4698182344436646,1.9310141792709774e-10,2.0948346932418644
70B,P138,P159,64,0.3871811628341675,0.20275455713272095,0.499350905418396,0.00010857112271609099,0.3902126383036375
70B,P138,P176,64,1.1933811157941818,0.9063296914100647,1.5385480374097824,1.9575614241119284e-11,1.3183708563446999
70B,P138,P19,64,0.6136401891708374,0.13001564517617226,1.0460787415504456,3.60630866351033e-06,0.9554732388351113
70B,P159,P101,64,0.31232500076293945,0.09738210737705232,0.537811279296875,0.007190027406271756,0.24513318482786417
70B,P159,P103,64,0.2252325713634491,0.1374887228012085,0.4220275208353996,0.0016995772130220612,0.26016859197989106
70B,P159,P138,64,0.2356123924255371,-0.020168721675872803,0.32162261307239515,0.01169315530545314,0.25134947057813406
70B,P159,P159,64,1.1481671184301376,0.7677484154701233,1.4534348100423813,2.4348208437173212e-09,1.3443093370005954
70B,P159,P176,64,0.41487210988998413,0.2523166239261627,0.5721826553344727,5.336560349791853e-10,0.5741115575656295
70B,P159,P19,64,0.5802990198135376,0.4210816025733948,0.898443304002285,1.7325597205491204e-06,0.9558992303209379
70B,P176,P101,64,0.6372267007827759,0.4435081481933594,0.8335342407226562,9.128905062771118e-08,0.9408127926290035
70B,P176,P103,64,0.9773324728012085,0.5620865821838379,1.3681528568267822,8.432418229178885e-10,1.2292334781959653
70B,P176,P138,64,1.091837763786316,0.6782875955104828,1.3870468139648438,5.836258253744539e-09,1.2899282542057335
70B,P176,P159,64,0.5711318105459213,0.4135396182537079,1.0781287252902985,1.7356378210804772e-07,0.8931024286430329
70B,P176,P176,64,2.2644645664840937,1.8058287650346756,2.60310579277575,1.7627490366353699e-12,2.260873824416194
70B,P176,P19,64,1.273031234741211,0.6487274169921875,1.6775006651878357,1.5959923121169877e-08,1.6450013215653598
70B,P19,P101,64,0.6048009395599365,0.31476029753685,1.1377745568752289,3.363325754247794e-05,0.8526792665943503
70B,P19,P103,64,0.619752049446106,0.27968358993530273,1.1947512365877628,3.7631679861634416e-05,0.7057584288995713
70B,P19,P138,64,0.10580545663833618,-0.2278132438659668,0.21689891815185547,0.2917170870685525,0.08109452202916145
70B,P19,P159,64,0.44138869270682335,0.2809728682041168,0.6990516185760498,1.0928023082683711e-07,0.5917281755246222
70B,P19,P176,64,0.19531798362731934,0.08296442031860352,0.49742114543914795,0.0004132674209516288,0.39826888078823686
70B,P19,P19,64,0.8265090137720108,0.49152612686157227,1.186193823814392,8.294951539729148e-09,1.3130435001803562
